Username,Password,Active,Account Type
admin,111,TRUE,Admin
volunteer1,111,FALSE,Volunteer
volunteer2,111,TRUE,Volunteer
volunteer3,111,TRUE,Volunteer
test12345,Hello1234!,TRUE,Volunteer
test1234,TestPassword1!,True,Volunteer
Testing12,Testing12!,True,Volunteer
test123456,Testpassword123!,True,Volunteer
plslahjustwokr,Plslahjustwokr!,True,Volunteer
plsworkkkk,Plsworkkkk!,True,Volunteer
PLSSSSSSS,PLSSSSSSS!,True,Volunteer
THISTIME,THISTIME!,True,Volunteer
Testagain,Testagain!,True,Volunteer
